INFO 2026-02-15 10:17:20,657 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 10:17:25,127 log "GET /admin/ HTTP/1.1" 200 19224
INFO 2026-02-15 10:17:25,186 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,194 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,198 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,198 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,204 log "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,206 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,213 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,226 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:25,226 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,114 log "GET /admin/accounts/user/ HTTP/1.1" 200 23562
INFO 2026-02-15 10:17:29,185 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,189 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,190 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,193 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,195 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,205 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,205 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,210 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,210 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,224 log "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,225 log "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,235 log "GET /static/admin/img/icon-no.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,245 log "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,283 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 10:17:29,358 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,359 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:29,364 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2026-02-15 10:17:41,701 log "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 37502
INFO 2026-02-15 10:17:41,757 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:41,769 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 10:17:41,771 log "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-15 10:17:42,051 log "GET /static/admin/js/calendar.js HTTP/1.1" 200 9159
INFO 2026-02-15 10:17:42,068 log "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2026-02-15 10:17:42,075 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:42,086 log "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-02-15 10:17:42,087 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19698
INFO 2026-02-15 10:17:42,096 log "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-15 10:17:42,379 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
INFO 2026-02-15 10:17:42,383 log "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2026-02-15 10:17:42,383 log "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 805
INFO 2026-02-15 10:17:50,100 log "GET /admin/accounts/user/1/password/ HTTP/1.1" 200 19218
INFO 2026-02-15 10:17:50,165 log "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2026-02-15 10:17:58,459 log "POST /admin/accounts/user/1/password/ HTTP/1.1" 200 19462
INFO 2026-02-15 10:18:12,066 log "POST /admin/accounts/user/1/password/ HTTP/1.1" 302 0
INFO 2026-02-15 10:18:12,143 log "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 37638
INFO 2026-02-15 10:18:12,211 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2026-02-15 10:18:21,192 log Bad Request: /api/auth/login/
WARNING 2026-02-15 10:18:21,193 log "POST /api/auth/login/ HTTP/1.1" 400 40
WARNING 2026-02-15 10:19:16,535 log Forbidden: /api/auth/users/register/
WARNING 2026-02-15 10:19:16,536 log "POST /api/auth/users/register/ HTTP/1.1" 403 63
INFO 2026-02-15 10:20:34,045 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:20:34,142 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:20:37,580 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:20:39,241 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:21:59,910 autoreload Watching for file changes with StatReloader
WARNING 2026-02-15 10:22:53,630 log Bad Request: /api/auth/login/
